Aachener Straße,StreetError
Ackerstraße_20_13585,StreetNoError
Agnes-Straub-Weg_6_12353,ZeroSchoolsError
Agnes-Straub-Weg_8_12353,ZeroSchoolsError
Agnes-Straub-Weg_10_12353,ZeroSchoolsError
Agnes-Straub-Weg_16_12353,ZeroSchoolsError
Agnes-Straub-Weg_20_12353,ZeroSchoolsError
Alemannenstraße_14_14129,StreetNoError
Alsenstraße_28_14109,StreetNoError
Alsterweg_51_14167,StreetNoError
Alt-Britz_15_12359,ZeroSchoolsError
Alt-Britz_17_12359,ZeroSchoolsError
Alt-Britz_23_12359,ZeroSchoolsError
Alt-Britz_27_12359,ZeroSchoolsError
Alt-Britz_32_12359,ZeroSchoolsError
Alt-Britz_37_12359,ZeroSchoolsError
Alt-Britz_39_12359,ZeroSchoolsError
Alt-Britz_40_12359,ZeroSchoolsError
Alt-Britz_42_12359,ZeroSchoolsError
Alt-Britz_43_12359,ZeroSchoolsError
Alt-Britz_44_12359,ZeroSchoolsError
Alt-Britz_45_12359,ZeroSchoolsError
Alt-Britz_46_12359,ZeroSchoolsError
Alt-Britz_47_12359,ZeroSchoolsError
Alt-Britz_48_12359,ZeroSchoolsError
Alt-Britz_49_12359,ZeroSchoolsError
Alt-Britz_50_12359,ZeroSchoolsError
Alt-Britz_51_12359,ZeroSchoolsError
Alt-Britz_52_12359,ZeroSchoolsError
Alt-Britz_54_12359,ZeroSchoolsError
Alt-Britz_55_12359,ZeroSchoolsError
Alt-Britz_56_12359,ZeroSchoolsError
Alt-Britz_57_12359,ZeroSchoolsError
Alt-Britz_58_12359,ZeroSchoolsError
Alt-Britz_60_12359,ZeroSchoolsError
Alt-Britz_61_12359,ZeroSchoolsError
Alt-Britz_73_12359,ZeroSchoolsError
Alt-Britz_81_12359,ZeroSchoolsError
Alt-Britz_84_12359,ZeroSchoolsError
Alt-Britz_86_12359,ZeroSchoolsError
Alt-Britz_88_12359,ZeroSchoolsError
Alt-Britz_90_12359,ZeroSchoolsError
Alt-Britz_91_12359,ZeroSchoolsError
Alt-Britz_93_12359,ZeroSchoolsError
Alt-Britz_95_12359,ZeroSchoolsError
Alt-Britz_96_12359,ZeroSchoolsError
Alt-Britz_97_12359,ZeroSchoolsError
Alt-Britz_98_12359,ZeroSchoolsError
Alt-Britz_99_12359,ZeroSchoolsError
